File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),PMID,License
oa_package/83/8f/PMC17810.tar.gz,Arthritis Res. 2000 Mar 1; 2(3):229-235,PMC17810,2014-04-29 19:51:32,11056668,NO-CC CODE
oa_package/2e/43/PMC17811.tar.gz,Arthritis Res. 2000 Mar 31; 2(3):236-243,PMC17811,2014-04-29 19:51:32,11056669,NO-CC CODE
oa_package/fa/0c/PMC17812.tar.gz,Arthritis Res. 2000 May 24; 2(4):293-302,PMC17812,2014-04-29 19:51:32,11056670,NO-CC CODE
oa_package/ec/0a/PMC17813.tar.gz,Arthritis Res. 2000 May 19; 2(4):303-314,PMC17813,2014-04-29 19:51:32,11056671,NO-CC CODE
oa_package/0a/39/PMC17814.tar.gz,Arthritis Res. 2000 Jun 5; 2(4):315-326,PMC17814,2014-04-29 19:51:32,11056672,NO-CC CODE
oa_package/94/ba/PMC17815.tar.gz,Arthritis Res. 2000 Jun 8; 2(4):327-336,PMC17815,2014-04-29 19:51:33,11056673,NO-CC CODE
oa_package/0c/89/PMC17816.tar.gz,Arthritis Res. 2000 Jul 3; 2(5):399-406,PMC17816,2014-04-29 19:51:33,11056674,NO-CC CODE
oa_package/e0/bb/PMC17817.tar.gz,Arthritis Res. 2000 Jul 11; 2(5):407-414,PMC17817,2014-04-29 19:51:33,11056675,NO-CC CODE
oa_package/f3/1c/PMC17818.tar.gz,Arthritis Res. 2000 Jul 3; 2(5):415-423,PMC17818,2014-04-29 19:51:33,11056676,NO-CC CODE
oa_package/53/57/PMC17819.tar.gz,Arthritis Res. 2000 Aug 3; 2(5):424-427,PMC17819,2014-04-29 19:51:33,11056677,NO-CC CODE
oa_package/95/19/PMC17820.tar.gz,Arthritis Res. 2000 Aug 31; 2(6):477-488,PMC17820,2014-04-29 19:51:34,11056678,NO-CC CODE
oa_package/08/a9/PMC17821.tar.gz,Arthritis Res. 2000 Aug 31; 2(6):489-503,PMC17821,2014-04-29 19:51:34,11056679,NO-CC CODE
oa_package/2e/f9/PMC17822.tar.gz,Arthritis Res. 2000 Sep 20; 2(6):504-512,PMC17822,2014-04-29 19:51:34,11056680,NO-CC CODE
oa_package/2d/61/PMC17823.tar.gz,Arthritis Res. 2001 Nov 3; 3(1):41-47,PMC17823,2014-04-29 19:51:34,11178125,NO-CC CODE
oa_package/6a/09/PMC17824.tar.gz,Arthritis Res. 2001 Oct 27; 3(1):48-53,PMC17824,2014-04-29 19:51:37,11178126,NO-CC CODE
oa_package/d0/66/PMC17825.tar.gz,Arthritis Res. 2001 Nov 2; 3(1):54-64,PMC17825,2014-04-29 19:51:37,11178127,NO-CC CODE
oa_package/18/89/PMC17826.tar.gz,Arthritis Res. 2001 Nov 9; 3(1):65-71,PMC17826,2014-04-29 19:51:38,11178128,NO-CC CODE
oa_package/14/6f/PMC17827.tar.gz,Arthritis Res. 2001 Nov 21; 3(1):72-76,PMC17827,2014-04-29 19:51:38,11178129,NO-CC CODE
oa_package/6f/1e/PMC17828.tar.gz,Arthritis Res. 2001 Jan 5; 3(2):118-126,PMC17828,2016-09-06 06:14:06,11178119,NO-CC CODE
oa_package/f0/ec/PMC17829.tar.gz,Arthritis Res. 2001 Jan 11; 3(2):127-132,PMC17829,2016-09-06 06:14:06,11178120,NO-CC CODE
oa_package/7f/b7/PMC25774.tar.gz,Genome Biol. 2001 Jan 22; 2(2):research0004.1-research0004.13,PMC25774,2019-11-05 11:56:12,11182887,NO-CC CODE
oa_package/ed/b1/PMC25775.tar.gz,Genome Biol. 2001 Jan 25; 2(2):research0005.1-research0005.11,PMC25775,2019-11-05 11:56:12,11182888,NO-CC CODE
oa_package/fd/ee/PMC25776.tar.gz,Genome Biol. 2001 Jan 29; 2(2):research0006.1-research0006.5,PMC25776,2019-11-05 11:56:12,11182889,NO-CC CODE
oa_package/5b/2c/PMC28985.tar.gz,Crit Care. 1997 Aug 13; 1(1):15-24,PMC28985,2014-04-29 19:58:25,11056693,NO-CC CODE
oa_package/ad/9a/PMC28986.tar.gz,Crit Care. 1997 Aug 13; 1(1):25-39,PMC28986,2014-04-29 19:58:26,11056694,NO-CC CODE
oa_package/a1/7a/PMC28987.tar.gz,Crit Care. 1997 Sep 26; 1(1):41-44,PMC28987,2014-04-29 19:58:26,11056695,NO-CC CODE
oa_package/52/22/PMC28988.tar.gz,Crit Care. 1997 Sep 26; 1(1):45-50,PMC28988,2014-04-29 19:58:26,11056696,NO-CC CODE
oa_package/ad/08/PMC28989.tar.gz,Crit Care. 1997 Nov 26; 1(2):65-70,PMC28989,2014-04-29 19:58:26,11056697,NO-CC CODE
oa_package/6b/fc/PMC28990.tar.gz,Crit Care. 1997 Nov 26; 1(2):71-74,PMC28990,2014-04-29 19:58:27,11056698,NO-CC CODE
oa_package/08/2d/PMC28991.tar.gz,Crit Care. 1997 Nov 26; 1(2):75-77,PMC28991,2014-04-29 19:58:27,11056699,NO-CC CODE
oa_package/ae/9b/PMC28992.tar.gz,Crit Care. 1997 Nov 26; 1(2):79-83,PMC28992,2014-04-29 19:58:27,11056700,NO-CC CODE
oa_package/46/2f/PMC28993.tar.gz,Crit Care. 1997 Jan 22; 1(3):95-99,PMC28993,2014-04-29 19:58:27,11056701,NO-CC CODE
oa_package/5a/ac/PMC28994.tar.gz,Crit Care. 1997 Jan 22; 1(3):101-104,PMC28994,2014-04-29 19:58:27,11056702,NO-CC CODE
oa_package/72/15/PMC28995.tar.gz,Crit Care. 1997 Jan 22; 1(3):105-110,PMC28995,2014-04-29 19:58:27,11056703,NO-CC CODE
oa_package/02/54/PMC28996.tar.gz,Crit Care. 1997 Jan 22; 1(3):111-116,PMC28996,2014-04-29 19:58:27,11056704,NO-CC CODE
oa_package/fd/6e/PMC28997.tar.gz,Crit Care. 1998 Mar 12; 2(1):19-23,PMC28997,2014-04-29 19:58:28,11056705,NO-CC CODE
oa_package/94/54/PMC28998.tar.gz,Crit Care. 1998 Mar 12; 2(1):25-28,PMC28998,2014-04-29 19:58:28,11056706,NO-CC CODE
oa_package/b2/38/PMC28999.tar.gz,Crit Care. 1998 Mar 12; 2(1):29-34,PMC28999,2014-04-29 19:58:28,11056707,NO-CC CODE
oa_package/8a/9a/PMC29000.tar.gz,Crit Care. 1998 Mar 12; 2(1):35-39,PMC29000,2014-04-29 19:58:28,11056708,NO-CC CODE
oa_package/8a/4a/PMC29001.tar.gz,Crit Care. 1998 May 22; 2(2):49-55,PMC29001,2014-04-29 19:58:28,11056709,NO-CC CODE
oa_package/82/a8/PMC29002.tar.gz,Crit Care. 1998 May 22; 2(2):57-60,PMC29002,2014-04-29 19:58:28,11056710,NO-CC CODE
oa_package/d2/a3/PMC29003.tar.gz,Crit Care. 1998 May 22; 2(2):61-66,PMC29003,2014-04-29 19:58:28,11056711,NO-CC CODE
oa_package/bc/69/PMC29004.tar.gz,Crit Care. 1998 May 22; 2(2):67-72,PMC29004,2014-04-29 19:58:29,11056712,NO-CC CODE
oa_package/eb/09/PMC29005.tar.gz,Crit Care. 1999 Mar 15; 3(1):1-6,PMC29005,2014-04-29 19:58:29,11056715,NO-CC CODE
oa_package/ba/97/PMC29006.tar.gz,Crit Care. 1999 Mar 15; 3(1):7-10,PMC29006,2014-04-29 19:58:29,11056716,NO-CC CODE
oa_package/65/cd/PMC29007.tar.gz,Crit Care. 1999 Mar 15; 3(1):11-16,PMC29007,2020-04-08 20:35:34,11056717,NO-CC CODE
oa_package/c2/a4/PMC29008.tar.gz,Crit Care. 1999 Mar 15; 3(1):17-18,PMC29008,2020-04-08 20:35:34,11056718,NO-CC CODE
oa_package/c9/7f/PMC29009.tar.gz,Crit Care. 1999 Mar 15; 3(1):19-22,PMC29009,2014-04-29 19:58:29,11056719,NO-CC CODE
oa_package/e6/47/PMC29010.tar.gz,Crit Care. 1999 Mar 15; 3(1):23-31,PMC29010,2014-04-29 19:58:29,11056720,NO-CC CODE
oa_package/db/69/PMC29011.tar.gz,Crit Care. 1999 Mar 16; 3(1):33-37,PMC29011,2014-04-29 19:58:29,11056721,NO-CC CODE
oa_package/6f/df/PMC29012.tar.gz,Crit Care. 1999 Mar 16; 3(1):39-43,PMC29012,2014-04-29 19:58:29,11056722,NO-CC CODE
oa_package/17/9e/PMC29013.tar.gz,Crit Care. 1999 Mar 16; 3(1):45-50,PMC29013,2020-04-08 20:35:34,11056723,NO-CC CODE
oa_package/d6/b4/PMC29014.tar.gz,Crit Care. 1999 Mar 19; 3(1):51-53,PMC29014,2014-04-29 19:58:30,11056724,NO-CC CODE
oa_package/8e/89/PMC29015.tar.gz,Crit Care. 1999 Apr 29; 3(2):57-63,PMC29015,2014-04-29 19:58:30,11056725,NO-CC CODE
oa_package/ac/b2/PMC29016.tar.gz,Crit Care. 1999 May 18; 3(2):65-70,PMC29016,2014-04-29 19:58:30,11056726,NO-CC CODE
oa_package/4c/0f/PMC29017.tar.gz,Crit Care. 1999 Jun 9; 3(3):71-77,PMC29017,2014-04-29 19:58:30,11056727,NO-CC CODE
