id,pmid,pmc,doi,year,title
28090198,28090198,5192046,10.1007/s11306-016-1147-x,2017,Computational tools and workflows in metabolomics: An international survey highlights the opportunity for harmonisation through Galaxy
28791158,28791158,5541553,10.1098/rsos.170304,2017,Gamma-ray bursts and their use as cosmic probes
23758618,23758618,3691752,10.1186/1471-2164-14-397,2013,Web-based visual analysis for high-throughput genomics
32354350,32354350,7193333,10.1186/s13059-020-02016-0,2020,In memory of James Taylor: the birth of Galaxy
25301683,25301683,4261978,10.1021/pr500812t,2014,Flexible and Accessible Workflows for Improved Proteogenomic Analysis Using the Galaxy Framework
26913198,26913198,4765054,10.1186/s13742-016-0115-8,2016,Galaxy-M: a Galaxy workflow for processing and analyzing direct infusion and liquid chromatography mass spectrometry-based metabolomics data
24460651,24460651,3905657,10.1186/2047-217X-3-1,2014,CGtag: complete genomics toolkit and annotation in a cloud-based Galaxy
27429763,27429763,4929898,10.1098/rsos.160025,2016,Gone with the heat: a fundamental constraint on the imaging of dust and molecular gas in the early Universe
28163623,28163623,5255531,10.12942/lrr-2012-10,2012,Modified Newtonian Dynamics (MOND): Observational Phenomenology and Relativistic Extensions
28327945,28327945,5437943,10.1093/gigascience/gix015,2017,Enhancing knowledge discovery from cancer genomics data with Galaxy
28232859,28232859,5302147,10.12688/f1000research.10221.1,2016,Integration of EGA secure data access into Galaxy
25421287,25421287,4261753,10.1186/s13000-014-0216-6,2014,Automated Selection of Hotspots (ASH): enhanced automated segmentation and adaptive step finding for Ki67 hotspot detection in adrenal cortical cancer
31107941,31107941,6527052,10.1093/gigascience/giz028,2019,Rice Galaxy: an open resource for plant science
32377024,32377024,7188702,10.1007/s11214-020-00674-x,2020,The Molecular Cloud Lifecycle
31825480,31825480,6905351,10.1093/gigascience/giz144,2019,A Galaxy-based training resource for single-cell RNA-sequencing quality control and analyses
29422487,29422487,5805789,10.1038/s41467-018-02916-7,2018,No tension between assembly models of super massive black hole binaries and pulsar observations
29792116,29792116,6108042,10.1177/0306312718778806,2018,"The epistemic culture in an online citizen science project: Programs, antiprograms and epistemic subjects"
30697426,30697426,6346226,10.1002/rcr2.398,2019,Multiple huge “cluster” and “galaxy” signs on chest radiography in a patient with pulmonary tuberculosis
3026248,,3026248,10.1186/gb-2010-11-s1-p2,2010,The elastic analysis with galaxy on the cloud
29018247,29018247,5635124,10.1038/s41467-017-00851-7,2017,Gravitational-wave localization alone can probe origin of stellar-mass black hole mergers
27797780,27797780,5408802,10.1093/bioinformatics/btw679,2017,Big Data Smart Socket (BDSS): a system that abstracts data transfer habits from end users
25594743,25594743,4380965,10.1002/cam4.360,2015,Open pipelines for integrated tumor genome profiles reveal differences between pancreatic cancer tumors and cell lines
30271575,30271575,6137412,10.12688/f1000research.15119.1,2018,Norwegian e-Infrastructure for Life Sciences (NeLS)
32923581,32923581,7455492,10.1126/sciadv.aay9711,2020,Discovery of diffuse optical emission lines from the inner Galaxy: Evidence for LI(N)ER-like gas
30717669,30717669,7394323,10.1186/s12859-018-2492-8,2019,GCAC: galaxy workflow system for predictive model building for virtual screening
28791175,28791175,5541570,10.1098/rsos.170522,2017,Extragalactic radio surveys in the pre-Square Kilometre Array era
24413671,24413671,3998122,10.1093/bioinformatics/btt731,2014,Oqtans: the RNA-seq workbench in the cloud for complete and reproducible quantitative transcriptome analysis
21775304,21775304,3157923,10.1093/bioinformatics/btr398,2011,Making whole genome multiple alignments usable for biologists
25149441,25149441,4158061,10.1186/1471-2164-15-703,2014,Using Galaxy-P to leverage RNA-Seq for the discovery of novel protein variations
30237890,30237890,6138543,10.1002/rcr2.369,2018,Multi‐drug‐resistant tuberculosis with galaxy and cluster signs on high‐resolution computed tomography
26738481,26738481,4702420,10.1186/s12859-015-0873-9,2016,"TRAPLINE: a standardized and automated pipeline for RNA sequencing data analysis, evaluation and annotation"
27759033,27759033,5075802,10.1038/ncomms13269,2016,The growth of the central region by acquisition of counterrotating gas in star-forming galaxies
25407802,25407802,4255452,10.1186/s12859-014-0350-x,2014,Using phylogenetically-informed annotation (PIA) to search for light-interacting genes in transcriptomes from non-model organisms
24377391,24377391,3877877,10.1186/2047-217X-2-17,2013,Galaxy tools to study genome diversity
30613777,30613777,6314826,10.1126/sciadv.aau8227,2019,Filaments of galaxies as a clue to the origin of ultrahigh-energy cosmic rays
32165392,32165392,7067960,10.1128/MRA.01589-19,2020,"Genome Sequences of vB_RleM_RL38JI and vB_RleM_RL2RES, Two Virulent Rhizobium leguminosarum Transducing Phages"
24885806,24885806,4036707,10.1186/1756-0500-7-314,2014,Implementation of Cloud based Next Generation Sequencing data analysis in a clinical laboratory
24799436,24799436,4086134,10.1093/nar/gku365,2014,deepTools: a flexible platform for exploring deep-sequencing data
25001293,25001293,4038738,10.1186/gb4161,2014,Dissemination of scientific software with Galaxy ToolShed
21210987,21210987,3040534,10.1186/1471-2105-11-S12-S8,2010,ONTO-ToolKit: enabling bio-ontology engineering via Galaxy
31772190,31772190,6879478,10.1038/s41598-019-53155-9,2019,PIPE-T: a new Galaxy tool for the analysis of RT-qPCR expression data
30073212,30073212,6068289,10.1016/j.heliyon.2018.e00690,2018,Selection of computational environments for PSP processing on scientific gateways☆
28045932,28045932,5207757,10.1371/journal.pone.0168397,2017,"Metavisitor, a Suite of Galaxy Tools for Simple and Rapid Detection and Discovery of Viruses in Deep Sequence Data"
29688462,29688462,5967460,10.1093/molbev/msy084,2018,Biology Needs Evolutionary Software Tools: Let’s Build Them Right
31737256,31737256,6807170,10.12688/f1000research.18866.2,2019,MetaDEGalaxy: Galaxy workflow for differential abundance analysis of 16s metagenomic data
27069645,27069645,4821256,10.1098/rsos.150555,2016,Extragalactic background light measurements and applications
32373287,32373287,7191582,10.1016/j.csbj.2020.04.008,2020,MaREA4Galaxy: Metabolic reaction enrichment analysis and visualization of RNA-seq data within Galaxy
31028399,31028399,6602494,10.1093/nar/gkz303,2019,NGPhylogeny.fr: new generation phylogenetic services for non-specialists
22805712,22805712,3491378,10.1186/gb-2012-13-7-317,2012,Eastern genomics promises
29097690,29097690,5668276,10.1038/s41598-017-14950-4,2017,Ruling out dark matter interpretation of the galactic GeV excess by gamma-ray data of galaxy clusters
32236523,32236523,7102281,10.1093/gigascience/giaa025,2020,Multi-omics Visualization Platform: An extensible Galaxy plug-in for multi-omics data visualization and exploration
29036536,29036536,5860316,10.1093/bioinformatics/btx461,2017,wft4galaxy: a workflow testing tool for galaxy
30400817,30400817,6219086,10.1186/s12859-018-2426-5,2018,SyNDI: synchronous network data integration framework
29985939,29985939,6037350,10.1371/journal.pone.0199815,2018,Creating longitudinal datasets and cleaning existing data identifiers in a cystic fibrosis registry using a novel Bayesian probabilistic approach from astronomy
23181507,23181507,3556322,10.1186/1471-2105-13-315,2012,"CloudMan as a platform for tool, data, and analysis distribution"
26882475,26882475,4801062,10.1371/journal.pone.0149263,2016,ZBIT Bioinformatics Toolbox: A Web-Platform for Systems Biology and Expression Data Analysis
21210983,21210983,3040530,10.1186/1471-2105-11-S12-S4,2010,Galaxy CloudMan: delivering cloud compute clusters
32355508,32355508,7175698,10.1007/s12686-016-0570-7,2016,"A Galaxy-based bioinformatics pipeline for optimised, streamlined microsatellite development from Illumina next-generation sequencing data"
31266938,31266938,6606644,10.1038/s41467-019-10471-y,2019,Detection of anti-correlation of hot and cold baryons in galaxy clusters
28983512,28983512,5627979,10.1126/sciadv.1701634,2017,Gentle reenergization of electrons in merging galaxy clusters
25370028,25370028,4187148,10.3390/life4010035,2014,Setting the Stage for Habitable Planets
29807895,29807895,5990663,10.1098/rsta.2017.0316,2018,"The quantum theory of time, the block universe, and human experience"
29674941,29674941,5897888,10.1007/s41114-017-0010-3,2018,Cosmology and fundamental physics with the Euclid satellite
29142500,29142500,5660884,10.12942/lrr-2013-6,2013,Cosmology and Fundamental Physics with the Euclid Satellite
27934880,27934880,5155163,10.1038/ncomms13789,2016,Carbon monoxide in an extremely metal-poor galaxy
30998734,30998734,6472772,10.1371/journal.pone.0215562,2019,Comparative analysis of positioning accuracy of Samsung Galaxy smartphones in stationary measurements
4072424,,4072424,10.1186/1471-2105-15-S3-A7,2014,Oqtans: a multifunctional workbench for RNA-seq data analysis
20123743,20123743,3263800,10.1098/rsta.2009.0209,2010,Gravitational lensing: a unique probe of dark matter and dark energy
29048394,29048394,5677398,10.3390/s17102385,2017,Photoplethysmography Signal Analysis for Optimal Region-of-Interest Determination in Video Imaging on a Built-In Smartphone under Different Conditions
29425291,29425291,5863215,10.1093/gigascience/giy005,2018,GeneSeqToFamily: a Galaxy workflow to find gene families based on the Ensembl Compara GeneTrees pipeline
26692819,26692819,4666027,10.1140/epjc/s10052-015-3788-8,2015,X-ray lines and self-interacting dark matter
29352322,29352322,5774839,10.1371/journal.pone.0191603,2018,qPortal: A platform for data-driven biomedical research
23095257,23095257,3439730,10.1186/1471-2105-13-S14-S5,2012,"IBDsite: a Galaxy-interacting, integrative database for supporting inflammatory bowel disease high throughput data analysis"
30643093,30643093,6395782,10.2183/pjab.95.002,2019,Formation of the first generation of stars and blackholes in the Universe
22139515,22139515,3296952,10.1007/s11084-011-9254-1,2011,Delivery of Complex Organic Compounds from Evolved Stars to the Solar System
28401943,28401943,5388861,10.1038/srep46273,2017,Signal coverage approach to the detection probability of hypothetical extraterrestrial emitters in the Milky Way
28011789,28011789,5408841,10.1093/bioinformatics/btw800,2017,myGenomeBrowser: building and sharing your own genome browser
24618473,24618473,4071203,10.1093/bioinformatics/btu135,2014,"Orione, a web-based framework for NGS analysis in microbiology"
20562416,20562416,2894519,10.1093/bioinformatics/btq281,2010,Manipulation of FASTQ data with Galaxy
26821742,26821742,4829337,10.1080/15476286.2016.1141862,2016,"RiboGalaxy: A browser based platform for the alignment, analysis and visualization of ribosome profiling data"
18818719,18818719,2475657,10.1371/journal.pcbi.1000121,2008,Advanced Genomic Data Mining
26133650,26133650,4506502,10.1038/ncomms8599,2015,A low pre-infall mass for the Carina dwarf galaxy from disequilibrium modelling
29074973,29074973,5658361,10.1038/s41467-017-01152-9,2017,Precision cosmology from future lensed gravitational wave and electromagnetic signals
29123641,29123641,5657030,10.12688/f1000research.12168.1,2017,"Systematically linking tranSMART, Galaxy and EGA for reusing human translational research data"
26656932,26656932,4824126,10.1093/bioinformatics/btv724,2016,Sequence database versioning for command line and Galaxy bioinformatics servers
31395650,31395650,6687937,10.1128/MRA.00804-19,2019,"Genome Sequence of a T4-like Phage, Escherichia Phage vB_EcoM-Sa45lw, Infecting Shiga Toxin-Producing Escherichia coli Strains"
3467568,,3467568,10.1186/1753-6561-6-S6-P54,2012,CLIA-certified next-generation sequencing analysis in the cloud
31131402,31131402,6602424,10.1093/nar/gkz440,2019,BioUML: an integrated environment for systems biology and collaborative analysis of biomedical data
28953918,28953918,5617173,10.1371/journal.pone.0185207,2017,Escape Excel: A tool for preventing gene symbol and accession conversion errors
22121217,22121217,3245064,10.1093/nar/gkr1051,2012,The Stem Cell Discovery Engine: an integrated repository and analysis system for cancer stem cell comparisons
26040700,26040700,4489301,10.1093/nar/gkv351,2015,SNiPlay3: a web-based application for exploration and large scale analyses of genomic variations
28451381,28451381,5405795,10.12688/f1000research.6139.3,2016,MetaGenSense: A web-application for analysis and exploration of high throughput sequencing metagenomic data
31070714,31070714,6821377,10.1093/bioinformatics/btz309,2019,G-OnRamp: a Galaxy-based platform for collaborative annotation of eukaryotic genomes
28937183,28937183,5567250,10.12942/lrr-1998-12,1998,Gravitational Lensing in Astronomy
30305671,30305671,6180033,10.1038/s41598-018-33532-6,2018,The distribution and lifetime of powerful radio galaxies as a function of environment and redshift
28179843,28179843,5255893,10.12942/lrr-2013-4,2013,Relativistic Binaries in Globular Clusters
25573919,25573919,4410666,10.1093/bioinformatics/btv002,2015,RNA-Rocket: an RNA-Seq analysis resource for infectious disease research
28179867,28179867,5255571,10.12942/lrr-2004-9,2004,Gravitational Lensing from a Spacetime Perspective
30654742,30654742,6337836,10.1186/s12864-019-5431-9,2019,Peptimapper: proteogenomics workflow for the expert annotation of eukaryotic genomes
28472320,28472320,5737728,10.1093/nar/gkx315,2017,ChimeRScope: a novel alignment-free algorithm for fusion transcript prediction using paired-end RNA-Seq data
26335558,26335558,4559436,10.1371/journal.pcbi.1004447,2015,ReproPhylo: An Environment for Reproducible Phylogenomics
27091472,27091472,4835840,10.1186/s12859-016-1011-z,2016,MutSpec: a Galaxy toolbox for streamlined analyses of somatic mutation spectra in human and mouse cancer genomes
32568373,32568373,7307318,10.1093/gigascience/giaa066,2020,CandiMeth: Powerful yet simple visualization and quantification of DNA methylation at candidate genes
29333231,29333231,5747335,10.12688/f1000research.12974.1,2017,Using bio.tools to generate and annotate workbench tool descriptions
32401319,32401319,7219210,10.1093/gigascience/giaa049,2020,Ewastools: Infinium Human Methylation BeadChip pipeline for population epigenetics integrated into Galaxy
27441714,27441714,4932659,10.1089/big.2015.0057,2016,Integration and Visualization of Translational Medicine Data for Better Understanding of Human Diseases
21062764,21062764,3008645,10.1093/bioinformatics/btq619,2011,NBC: the Naïve Bayes Classification tool webserver for taxonomic classification of metagenomic reads
32341366,32341366,7184750,10.1038/s41598-020-63206-1,2020,A Galactic centre gravitational-wave Messenger
25032228,25032228,4086236,10.1155/2014/384912,2014,The Natural Science Underlying Big History 
26870323,26870323,4750246,10.1186/s13742-015-0105-2,2016,Colib’read on galaxy: a tools suite dedicated to biological information extraction from raw NGS reads
23157543,23157543,3534495,10.1186/1471-2164-13-637,2012,A Toolkit for bulk PCR-based marker design from next-generation sequence data: application for development of a framework linkage map in bulb onion (Allium cepa L.)
26269333,26269333,4638048,10.1074/mcp.O115.048777,2015,Galaxy Integrated Omics: Web-based Standards-Compliant Workflows for Proteomics Informed by Transcriptomics*
26153621,26153621,4495654,10.7554/eLife.07009,0,"Anatomy of BioJS, an open source community for the life sciences"
29780279,29780279,5954169,10.1007/s41114-018-0013-8,2018,Relativistic dynamics and extreme mass ratio inspirals
22958229,22958229,3444930,10.1186/1471-2164-13-462,2012,NG6: Integrated next generation sequencing storage and processing environment
26691694,26691694,4687148,10.1186/s12864-015-2279-5,2015,Dintor: functional annotation of genomic and proteomic data
28066154,28066154,5210023,10.1093/mnras/stw2725,2016,Measuring the 2D baryon acoustic oscillation signal of galaxies in WiggleZ: cosmological constraints
20501601,20501601,2896179,10.1093/nar/gkq431,2010,WebPrInSeS: automated full-length clone sequence identification and verification using high-throughput sequencing data
28459977,28459977,5493745,10.1093/gigascience/gix032,2017,GSuite HyperBrowser: integrative analysis of dataset collections across the genome and epigenome
28191835,28191835,5256115,10.12942/lrr-1998-2,1998,Physical and Relativistic Numerical Cosmology
29765637,29765637,5936902,10.1098/rsos.171582,2018,"The cosmic spiderweb: equivalence of cosmic, architectural and origami tessellations"
28579734,28579734,5443699,10.1063/1.4984017,2017,The basis for cosmic ray feedback: Written on the wind
28179857,28179857,5255573,10.12942/lrr-2001-2,2001,Computational Cosmology: From the Early Universe to the Large Scale Structure
29026651,29026651,5628696,10.1099/mgen.0.000116,2017,SNVPhyl: a single nucleotide variant phylogenomics pipeline for microbial genomic epidemiology
22594911,22594911,3431220,10.1186/1471-2105-13-102,2012,Workflows for microarray data processing in the Kepler environment
31808801,31808801,6897289,10.1093/gigascience/giz150,2019,GraphClust2: Annotation and discovery of structured RNAs with scalable and accessible integrative clustering
30210780,30210780,6107976,10.12688/f1000research.15936.1,2018,The 2018 Bioinformatics Open Source Conference (GCCBOSC 2018)
32241255,32241255,7114791,10.1186/s12864-019-6404-8,2020,EpiMOLAS: an intuitive web-based framework for genome-wide DNA methylation analysis
29329522,29329522,5767027,10.1186/s12864-017-4369-z,2018,A-GAME: improving the assembly of pooled functional metagenomics sequence data
31349598,31349598,6789846,10.3390/medicines6030079,2019,A Review of Bioinformatics Tools to Understand Acetaminophen-Alcohol Interaction
25471934,25471934,4255740,10.1186/1471-2105-15-S14-S3,2014,SMITH: a LIMS for handling next-generation sequencing workflows
21747686,21747686,3131570,10.3390/ijms12063432,2011,"Supernovae, Neutrinos and the Chirality of Amino Acids"
19812725,19812725,2747132,,2009,Phylogenetic Applications of the Minimum Contradiction Approach on Continuous Characters
25918639,25918639,4410580,10.1186/s13742-015-0060-y,2015,VirAmp: a galaxy-based viral genome assembly pipeline
26925205,26925205,4720014,10.1016/j.csbj.2014.11.001,2014,A case study for cloud based high throughput analysis of NGS data using the globus genomics system
27079975,27079975,4987876,10.1093/nar/gkw257,2016,deepTools2: a next generation web server for deep-sequencing data analysis
21609962,21609962,3125775,10.1093/nar/gkr373,2011,"PRI-CAT: a web-tool for the analysis, storage and visualization of plant ChIP-seq experiments"
31757212,31757212,6873396,10.1186/s12859-019-2912-4,2019,"TACITuS: transcriptomic data collector, integrator, and selector on big data platform"
29123534,29123534,5662881,10.3389/fpls.2017.01770,2017,Viral Diagnostics in Plants Using Next Generation Sequencing: Computational Analysis in Practice
6902906,,6902906,10.1177/0306312719871356,2019,"Medium, calculation, play: On digital images in scientific practice"
32367963,32367963,7183456,10.14202/vetworld.2020.549-555,2020,The influence of electromagnetic radiation of cell phones on the behavior of animals
29048555,29048555,5691353,10.1093/gigascience/gix099,2017,An architecture for genomics analysis in a clinical setting using Galaxy and Docker
26640691,26640691,4669641,10.1186/s13742-015-0092-3,2015,Enhanced reproducibility of SADI web service workflows with Galaxy and Docker
28607526,28607526,5460670,10.1093/mnras/stx764,2017,"A unified framework for constructing, tuning and assessing photometric redshift density estimates in a selection bias setting"
26342231,26342231,4681989,10.1093/bioinformatics/btv522,2016,Hammock: a hidden Markov model-based peptide clustering algorithm to identify protein-interaction consensus motifs in large datasets
27818709,27818709,5073744,10.1186/s13321-016-0169-8,2016,Multi-level meta-workflows: new concept for regularly occurring tasks in quantum chemistry
31320922,31320922,6615102,10.1186/s13029-019-0074-4,2019,Social support for collaboration and group awareness in life science research teams
26280450,26280450,4539224,10.1371/journal.pone.0134273,2015,JMS: An Open Source Workflow Management System and Web-Based Cluster Front-End for High Performance Computing
30237406,30237406,6147950,10.1038/s41467-018-06303-0,2018,Strongly lensed repeating fast radio bursts as precision probes of the universe
31222200,31222200,6482343,10.1093/gigascience/giz041,2019,"Bioportainer Workbench: a versatile and user-friendly system that integrates implementation, management, and use of bioinformatics resources in Docker environments"
21859476,21859476,3245621,10.1186/gb-2011-12-8-r83,2011,Cistrome: an integrative platform for transcriptional regulation studies
30533899,30533899,6256467,10.1128/MRA.00849-18,2018,Draft Genome Sequences of Isolates from Sediments of the River Elbe That Are Highly Tolerant to Diclofenac
26561006,26561006,4641893,10.3402/jev.v4.29454,2015,iSRAP – a one-touch research tool for rapid profiling of small RNA-seq data
28191823,28191823,5256120,10.12942/lrr-1998-9,1998,Computational Cosmology: from the Early Universe to the Large Scale Structure
23710461,23710461,3655485,10.1155/2013/791051,2013,Streaming Support for Data Intensive Cloud-Based Sequence Analysis
22182516,22182516,3285701,10.1186/1756-0500-4-546,2011,HumMeth27QCReport: an R package for quality control and primary analysis of Illumina Infinium methylation data
28336602,28336602,5364227,10.1128/genomeA.01501-16,2017,"Complete Genome Sequences of Pseudomonas fluorescens Bacteriophages Isolated from Freshwater Samples in Omaha, Nebraska"
30533780,30533780,6256545,10.1128/MRA.01263-18,2018,"Draft Genome Sequence of Helicobacter cinaedi, Compiled by Direct Whole-Genome Sequencing of a Blood Culture-Positive Isolate in Hong Kong"
32756403,32756403,7459951,10.3390/life10080132,2020,The Habitability of the Galactic Bulge
21182759,21182759,3046481,10.1186/gb-2010-11-12-r121,2010,The Genomic HyperBrowser: inferential genomics at the sequence level
31667024,31667024,6814220,10.1002/aps3.11296,2019,Development of novel microsatellite markers for Alkanna tinctoria by comparative transcriptomics
32429531,32429531,7277220,10.3390/ijerph17103494,2020,Intra- and Inter-Device Reliability of the Change-of-Direction Angles Using a Smartphone Application for Sailing
25089149,25089149,4118160,10.1186/1743-7075-11-34,2014,The intelligence paradox; will ET get the metabolic syndrome? Lessons from and for Earth
25392408,25392408,4383911,10.1093/nar/gku1073,2015,The UCSC Cancer Genomics Browser: update 2015
25995706,25995706,4429508,10.1140/epjc/s10052-015-3335-7,2015,Rigorous theoretical constraint on constant negative EoS parameter \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\omega $$\end{document}ω and its effect for the late Universe
29409527,29409527,5801807,10.1186/s13059-018-1387-3,2018,Bystro: rapid online variant annotation and natural-language filtering at whole-genome scale
31690036,31690036,6895801,10.3390/cancers11111725,2019,Comprehensive Outline of Whole Exome Sequencing Data Analysis Tools Available in Clinical Oncology
23441280,23441280,3484921,,2012,One lump or two?
31320444,31320444,6639634,10.1128/MRA.00777-19,2019,"Draft Genome Sequences of Six Bacteria Isolated from the Benham Bank, Philippine Rise, Philippines"
32001571,32001571,6992875,10.1128/MRA.01530-19,2020,"Complete Genome Sequence of Myophage Ec_Makalu_002, Which Infects Uropathogenic Escherichia coli"
32530465,32530465,7291503,10.1093/gigascience/giaa065,2020,Galactic Circos: User-friendly Circos plots within the Galaxy platform
26346985,26346985,4562374,10.1186/s13104-015-1404-5,2015,VING: a software for visualization of deep sequencing signals
32793784,32793784,7408333,10.1016/j.dib.2020.106102,2020,A bluetooth low energy dataset for the analysis of social interactions with commercial devices☆
26545824,26545824,4803387,10.1093/bioinformatics/btv593,2016,Automatic generation of bioinformatics tools for predicting protein–ligand binding sites
30815667,30815667,7299299,10.1093/bib/bbz018,2019,CAFU: a Galaxy framework for exploring unmapped RNA-Seq data
32640986,32640986,7346607,10.1186/s12859-020-03602-6,2020,"Bioinformatics recipes: creating, executing and distributing reproducible data analysis workflows"
7193733,,7193733,10.1007/978-3-319-42752-2_15,2016,Case-Based Glossary with Tips and Tricks
25883147,25883147,4489245,10.1093/nar/gkv345,2015,The ReproGenomics Viewer: an integrative cross-species toolbox for the reproductive science community
31439697,31439697,6706689,10.1128/MRA.00718-19,2019,"Complete Genome Sequence of Escherichia coli Phage vB_EcoM Sa157lw, Isolated from Surface Water Collected in Salinas, California"
32381617,32381617,7206495,10.1128/MRA.00303-20,2020,Near-Complete Genome Sequence of a 2019 Novel Coronavirus (SARS-CoV-2) Strain Causing a COVID-19 Case in Peru
