,title,doi,publisher
114,Impact of Lockdown due to COVID-19 Outbreak: Lifestyle Changes and Public Health Concerns in India,10.20944/preprints202006.0129.v1,MDPI AG
115,"Implementation of Telemedicine in a Laryngology Practice during the COVID-19 Pandemic: Lessons Learned, Experiences Shared",10.1016/j.jvoice.2020.06.017,Elsevier BV
116,Inhibition of Aurora Kinase B attenuates fibroblast activation and pulmonary fibrosis,10.15252/emmm.202012131,EMBO
117,Innovative Bioinformatical solutions in the field of regeneration and genetic disease treatment,10.2492/inflammregen.34.071,Japanese Society of Inflammation and Regeneration
118,"In Silico Elucidation of Deleterious Non-synonymous SNPs in SHANK3, the Autism Spectrum Disorder Gene",10.1007/s12031-020-01552-5,Springer Science and Business Media LLC
119,Integrated and flexible analysis of scRNA-seq data with Eoulsan scRNA-seq,10.5353/th_991044069403703414,The University of Hong Kong Libraries
120,Interacting dark energy in the early 2020s: A promising solution to the H0 and cosmic shear tensions,10.1016/j.dark.2020.100666,Elsevier BV
121,Interaction Nature and Computational Methods for Halogen Bonding : A Perspective,10.1021/acs.jcim.0c00032.s001,American Chemical Society (ACS)
122,In vitro and in vivo study of novel antimicrobial gellan–polylysine polyion complex fibers as suture materials,10.1016/j.carres.2020.108115,Elsevier BV
123,Isotope production in thunderstorms,10.2172/760441,Office of Scientific and Technical Information  (OSTI)
124,LOCAL RADIO AND TELEVISION–AN ENDANGERED SPECIES?,10.7220/2029-865x.10.05,Vytautas Magnus University
125,Lost and found: re-searching and re-scoring proteomics data aids the discovery of bacterial,10.1101/2019.12.18.881375,Cold Spring Harbor Laboratory
126,Mass spectrometry: LC-MS preprocessing-advanced,10.1002/0471218812.ch4,"John Wiley & Sons, Inc."
127,Medical diagnosis pipelines on the new AP-HP bioinformatics platform,10.1101/059600,Cold Spring Harbor Laboratory
128,Melatonin treatment reduces ethylene production and maintains fruit quality in apple during postharvest storage,10.1016/j.foodchem.2020.127753,Elsevier BV
129,Metal compounds for the treatment of parasitic diseases,10.1201/9781003068273-39,CRC Press
130,Methodology of using mobile Internet devices in the process of biology school course studying,10.1049/iet-tv.44.1402,Institution of Engineering and Technology (IET)
131,Microbial metabolomics and network analysis reveal fungistatic effect of basil (Ocimum basilicum) oil on Candida albicans,10.1016/j.jep.2020.113002,Elsevier BV
132,Microservice for Lifecycle Management of KYPO Platform Sandboxes,10.11606/d.45.2018.tde-19072018-113222,"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)"
133,MINTIA,10.1109/icolim.2014.6934348,IEEE
134,Mitochondria: A Galaxy in the Hematopoietic and Leukemic Stem Cell Universe,10.3390/ijms21113928,MDPI AG
135,Modeling and Simulation of a Fully-glycosylated Full-length SARS-CoV-2 Spike Protein in a Viral Membrane,10.1021/acs.jpcb.0c04553.s001,American Chemical Society (ACS)
136,Modern Astrophysics Meets Engineering: On the Reformation of Physics,10.1179/1357417515z.00000000037,Informa UK Limited
137,Molecular Docking Analysis of Phytochemical Thymoquinone as a Therapeutic Agent on SARS-Cov-2 Envelope Protein,10.33263/briac111.83898401,AMG Transcend Association
138,Morpheus: A Deep Learning Framework for the Pixel-level Analysis of Astronomical Image Data,10.3847/1538-4365/ab8868,American Astronomical Society
139,Movie Revenue Prediction Based on Purchase Intention Mining Using YouTube Trailer Reviews,10.1016/j.ipm.2020.102278,Elsevier BV
140,MS-based targeted metabolomics of eicosanoids and other oxylipins: Analytical variability and interlaboratory comparison of esterified oxylipin profile,10.1016/j.freeradbiomed.2019.05.012,Elsevier BV
141,"Multi-Epitope Vaccines (MEVs), as a Novel Strategy Against Infectious Diseases",10.2174/1570164617666190919120140,Bentham Science Publishers Ltd.
142,Multi-omics: An Opportunity to Dive into Systems Biology,10.30744/brjac.2179-3425.rv-03-2020,Brazilian Journal of Analytical Chemistry
143,Mycobacterium bovis: From Genotyping to Genome Sequencing,10.26226/morressier.56d5ba2ad462b80296c965c0,Morressier
144,Napabucasin overcomes cisplatin resistance in ovarian germ cell tumor-derived cell line by inhibiting cancer stemness,10.1186/s12935-020-01458-7,Springer Science and Business Media LLC
145,"Network Driven Discovery of Dopamine, Serotonin and Glutamate Receptors as Key Players in Schizophrenia",10.1016/j.schres.2007.11.007,Elsevier BV
146,Neural network for processing aptamer data,10.1201/9781315154008-8,Chapman and Hall/CRC
147,Neuroscientific approaches to the study of system justification,10.1016/j.cobeha.2020.04.003,Elsevier BV
148,Norepinephrine transporter-derived homing peptides enable rapid endocytosis of drug delivery nanovehicles into neuroblastoma cells,10.1186/s12951-020-00654-x,Springer Science and Business Media LLC
149,On the Potential of Silicon as a Building Block for Life,10.3390/life10060084,MDPI AG
150,Organohalide-respiring bacteria in polluted urban rivers employ novel bifunctional reductive dehalogenases to dechlorinate polychlorinated biphenyls and …,10.1021/acs.est.0c01569.s002,American Chemical Society (ACS)
151,Particular Biomolecular Processes as Computing Paradigms,10.1007/978-3-030-32622-7_20,Springer International Publishing
152,Pas-impossible worlds. An approach to weird science-fiction,10.4324/9780203872567-10,Routledge
153,Pectin homogalacturonans: Nanostructural characterization of methylesterified domains,10.1016/j.foodhyd.2015.01.036,Elsevier BV
154,Phylogenetic and transcriptomic analyses reveal the evolution of bioluminescence and light detection in marine deep-sea shrimps of the family Oplophoridae (Crustacea: Decapoda),10.1016/j.ympev.2014.11.013,Elsevier BV
155,"Planet Hunters TESS I: TOI 813, a subgiant hosting a transiting Saturn-sized planet on an 84-day orbit",10.1111/j.1365-2966.2012.20893.x,Oxford University Press (OUP)
156,PME-1 AS A BIOMARKER TO PREDICT AND DIAGNOSE AN INCREASED RISK OF ENDOMETRIAL CANCER AND GENE SILENCING OF PME-1 TO INHIBIT …,10.1787/467274182306,Organisation for Economic Co-Operation and Development  (OECD)
157,Polarization whorls from M87* at the event horizon telescope,10.1098/rspa.2019.0618,The Royal Society
158,Protocols for Tn-seq Analyses in the Group A Streptococcus,10.1007/978-1-0716-0467-0_4,Springer US
159,Pseudomonas aeruginosa Biofilm Removal from Two Kinds of Granite Commonly Found in Catering Kitchen,10.1155/2020/4313908,Hindawi Limited
160,Querying Shared Data with Security Heterogeneity,10.1145/3318464.3389784,ACM
161,Rebleeding and mortality risk are increased by ACLF but reduced by pre-emptive TIPS,10.2214/ajr.20.24811,American Roentgen Ray Society
162,"Relationships Between the Usage of Televisions, Computers, and Mobile Phones and the Quality of Sleep in a Chinese Population: Community-Based Cross …",10.2196/preprints.18095,JMIR Publications Inc.
163,Resilient and Agile Engineering Solutions to Address Societal Challenges such as Coronavirus Pandemic,10.2305/iucn.ch.2016.13.en,IUCN International Union for Conservation of Nature
164,Rethinking Urbanism: Lessons from Postcolonialism and the Global South,10.2307/j.ctv12fw6wq.8,Bristol University Press
165,RNA-Seq analysis of Mycobacterium smegmatis and its phage,10.6019/tae.rna-seq.2014.00001.1,EMBL-EBI
166,Role of the RNA-binding protein La in cancer pathobiology,10.1080/15476286.2020.1792677,Informa UK Limited
167,Seasonal Patterns Contribute More Towards Phyllosphere Bacterial Community Structure than Short-Term Perturbations,10.1007/s00248-020-01564-z,Springer Science and Business Media LLC
168,Selective Enrichment of Clostridium Spp. by Nutrition Control from Sihe Coal Geological Microbial Communities,10.1007/s12010-020-03367-x,Springer Science and Business Media LLC
169,Seq-ing answers: current data integration approaches to uncover mechanisms of transcriptional regulation,10.1016/j.csbj.2020.05.018,Elsevier BV
170,Sequence ready library preparation fully automated for microbial and human DNA template,10.3109/10425170009033232,Informa UK Limited
171,Severity and duration of hypoxic stress differentially regulates HIF-1α-mediated cardiomyocyte apoptotic signaling milieu during myocardial infarction,10.1016/j.abb.2020.108430,Elsevier BV
172,Switch Editions?,10.1163/9789004215511.js-201,Brill
173,Synteny-guided gene tree correction accounting for whole-genome duplication,10.1534/g3.118.200552,Genetics Society of America
174,The Craft of Yoiking: Philosophical Variations on Sámi Chants,10.33356/temenos.4907,Temenos
175,The Galaxy of Cytoskeletal Modulation in the Universe of Heart Failure Therapeutics,10.1016/j.jchf.2020.03.015,Elsevier BV
176,The genetic arms race between plant and Xanthomonas: lessons learned from TALE biology,10.1007/s11427-020-1699-4,Springer Science and Business Media LLC
177,"The identification of a major sex QTL in the white-leg shrimp, Litopenaeus vannamei",10.1016/j.aquaculture.2020.735673,Elsevier BV
178,The jetstream of black holes–Gravitation as electromagnetic phenomenon,10.1093/oso/9780190650728.003.0001,Oxford University Press
179,Total area of spontaneous portosystemic shunts independently predicts hepatic encephalopathy and mortality in liver cirrhosis,10.26226/morressier.57c5383dd462b80296c9bb49,Morressier
180,Understanding Drug Repurposing From the Perspective of Biomedical Entities and Their Evolution: Bibliographic Research Using Aspirin,10.2196/preprints.16739,JMIR Publications Inc.
181,Understanding Emergent Behaviour within the Economic Infrastructure System-of-Systems,10.1049/iet-tv.50.16603,Institution of Engineering and Technology (IET)
182,Understanding retail quality of sporting goods stores: a text mining approach,10.1108/ijsms-03-2020-0029,Emerald
183,Unsteady magnetohydrodynamics of viscous fluid past a magnetic sliced sphere,10.1063/5.0007930,AIP Publishing
184,Using complex network analysis for optimization of water distribution networks,10.1029/2020wr027929,American Geophysical Union (AGU)
185,Using statistical methods to model the fine-tuning of molecular machines and systems,10.1016/j.jtbi.2020.110352,Elsevier BV
186,View all 3 citations,10.1515/9783110813241.181,DE GRUYTER MOUTON
187,Visualizing Toxic Subjects,10.1163/ej.9789004183438.i-184.20,BRILL
188,Zebrafish as a tool to study schizophrenia-associated copy number variants,10.14264/uql.2015.702,University of Queensland Library
189,Zebrafish for Personalized Regenerative Medicine; A More Predictive Humanized Model of Endocrine Disease,10.3389/fendo.2020.00396,Frontiers Media SA
190,10: Measurement,10.1016/0263-2241(92)90025-y,Elsevier BV
191,10: The polarized CMB,10.1016/b978-0-12-815948-4.00016-4,Elsevier
192,11: Heterogeneous computing platform for backend computing tasks,10.1016/b978-0-12-819084-5.00008-0,Elsevier
193,11 Language and Materiality in the Renaming of Indigenous North American Languages and Peoples,10.1017/9781316848418.011,Cambridge University Press
194,11: Probes of structure: tracers,10.1016/b978-0-12-815948-4.00017-6,Elsevier
195,12: Finding the Clues in Large Collections of Data,10.1016/b978-0-12-815609-4.00012-1,Elsevier
196,12: Growth of structure: beyond linear theory,10.1016/b978-0-12-815948-4.00018-8,Elsevier
197,13: Nuclear-powered space reactor,10.1016/b978-0-12-818483-7.00013-5,Elsevier
198,13: Probes of structure: lensing,10.1016/b978-0-12-815948-4.00019-x,Elsevier
199,14: Analysis and inference,10.1093/analys/17.1.14,Oxford University Press (OUP)
200,14: Applications of artificial intelligence in astronomical big data,10.1016/b978-0-12-819084-5.00006-7,Elsevier
201,14: Health monitoring of bridges,10.1201/b13182-8,CRC Press
202,15: Mapping the universe with 21cm observations,10.1016/b978-0-12-819084-5.00009-2,Elsevier
203,1664P: Proteomic and Circulating Free DNA Analysis Outcome Predictors in the Galaxy Trialtm (NCT01348126): A Randomized Phase IIB/III Study of Ganetespib (STA-9090) in Combination with Docetaxel Versus Docetaxel Alone in Subjects with Stage IIIB/IV NSCLC,10.1016/s0959-8049(12)72093-2,Elsevier BV
204,16: Sensory Aids for Persons With Visual Impairments,10.1016/b978-0-323-09631-7.00013-2,Elsevier
205,16S Microbial Analysis with mothur,10.7717/peerj.4323/supp-3,PeerJ
206,16S Microbial Analysis with mothur (extended),10.7717/peerj.4323/supp-3,PeerJ
207,16S Microbial Analysis with mothur (short),10.7717/peerj.4323/supp-3,PeerJ
208,170 Members of the cystic fibrosis lung microbiome influence the epithelial immune response to Pseudomonas aeruginosa,10.1016/s1569-1993(17)30534-9,Elsevier BV
209,171 A chicken and egg situation,10.1016/s1569-1993(17)30535-0,Elsevier BV
210,172 Does the presence of “oral flora” in sputum cultures affect the clinical outcomes of people with cystic fibrosis lung disease?,10.1016/s1569-1993(17)30536-2,Elsevier BV
211,17: Biostatistics and Bioinformatics in Clinical Trials,10.1016/b978-0-443-06694-8.50026-9,Elsevier
212,1925–2013,10.5871/bacad/9780197265338.003.0006,British Academy
213,19.3 Malus x domestica Apple,10.1787/832cfaee-en,Organisation for Economic Co-Operation and Development  (OECD)
214,19 The Changing Nature of Teams,10.1038/382024a0,Springer Science and Business Media LLC
215,1: Introduction to luminescence,10.1088/2053-2571/aae5dach1,IOP Publishing
216,1: Introduction to radio astronomy,10.1017/cbo9780511801310.021,Cambridge University Press
217,1s2p Resonant Inelastic X-ray Scattering Magnetic Circular Dichroism as a probe for the local and non-local orbitals in CrO2,10.1016/j.elspec.2017.08.004,Elsevier BV
218,1: The concordance model of cosmology,10.1016/b978-0-12-815948-4.00007-3,Elsevier
219,1: The impact of Internet of Things and data semantics on decision making for outpatient monitoring,10.1016/b978-0-12-820604-1.00001-7,Elsevier
